PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3sPM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Plus/Minus,FP
Bennedict Mathurin,IND,IND @ ATL,1/26/2026,L,25,16,6,10,60,2,3,66.7,2,3,66.7,0,2,2,1,1,0,1,1,-25,21.9
T.J. McConnell,IND,IND @ ATL,1/26/2026,L,18,16,7,11,63.6,0,1,0,2,2,100,0,1,1,3,1,0,2,1,-18,22.7
Isaiah Jackson,IND,IND @ ATL,1/26/2026,L,12,4,2,3,66.7,0,0,-,0,0,-,2,3,5,0,0,1,0,2,-12,13
Andrew Nembhard,IND,IND @ ATL,1/26/2026,L,30,6,3,10,30,0,2,0,0,1,0,1,4,5,13,1,1,4,1,2,33.5
Luke Kennard,ATL,ATL vs. IND,1/26/2026,W,23,13,4,4,100,3,3,100,2,2,100,0,2,2,3,0,1,1,1,26,21.9
Jalen Johnson,ATL,ATL vs. IND,1/26/2026,W,35,15,5,19,26.3,1,7,14.3,4,4,100,2,5,7,6,4,1,4,1,0,43.4
Jay Huff,IND,IND @ ATL,1/26/2026,L,3,3,1,1,100,1,1,100,0,0,-,0,1,1,1,0,0,0,0,-3,5.7
Sion James,CHA,CHA vs. PHI,1/26/2026,W,19,0,0,2,0,0,2,0,0,0,-,0,1,1,1,0,0,1,1,0,1.7
Kon Knueppel,CHA,CHA vs. PHI,1/26/2026,W,20,12,5,9,55.6,2,5,40,0,0,-,2,6,8,6,2,0,4,2,28,32.6
Tidjane Salaün,CHA,CHA vs. PHI,1/26/2026,W,12,7,3,5,60,1,2,50,0,0,-,0,6,6,0,0,0,1,1,-13,13.2
Moussa Diabaté,CHA,CHA vs. PHI,1/26/2026,W,20,12,6,7,85.7,0,0,-,0,1,0,2,3,5,0,0,0,1,1,32,17
Tre Mann,CHA,CHA vs. PHI,1/26/2026,W,12,4,1,2,50,1,2,50,1,2,50,0,0,0,3,0,0,2,1,-13,6.5
Josh Green,CHA,CHA vs. PHI,1/26/2026,W,21,12,3,6,50,1,3,33.3,5,5,100,2,0,2,4,1,0,2,1,21,21.4
LaMelo Ball,CHA,CHA vs. PHI,1/26/2026,W,20,11,4,12,33.3,2,6,33.3,1,1,100,2,0,2,8,1,0,4,1,36,24.4
Grant Williams,CHA,CHA vs. PHI,1/26/2026,W,17,9,3,7,42.9,2,5,40,1,3,33.3,1,4,5,0,0,0,1,2,28,14
Miles Bridges,CHA,CHA vs. PHI,1/26/2026,W,19,10,4,7,57.1,1,3,33.3,1,1,100,1,2,3,3,0,1,0,4,22,21.1
Pat Connaughton,CHA,CHA vs. PHI,1/26/2026,W,8,0,0,0,-,0,0,-,0,0,-,1,1,2,1,0,0,0,0,-6,3.9
Trendon Watford,PHI,PHI @ CHA,1/26/2026,L,17,3,1,6,16.7,0,0,-,1,2,50,0,2,2,0,1,0,1,3,-14,7.4
Andre Drummond,PHI,PHI @ CHA,1/26/2026,L,19,4,2,3,66.7,0,0,-,0,2,0,5,2,7,1,1,2,3,3,-25,19.9
Brandon Miller,CHA,CHA vs. PHI,1/26/2026,W,27,30,9,11,81.8,6,8,75,6,6,100,0,8,8,2,2,0,1,1,40,47.6
Justin Edwards,PHI,PHI @ CHA,1/26/2026,L,16,4,1,3,33.3,0,2,0,2,2,100,1,0,1,2,1,0,0,2,1,11.2
Jared McCain,PHI,PHI @ CHA,1/26/2026,L,23,16,6,13,46.2,4,8,50,0,0,-,0,3,3,3,0,1,3,0,3,24.1
Jabari Walker,PHI,PHI @ CHA,1/26/2026,L,20,9,3,8,37.5,3,6,50,0,0,-,1,1,2,0,3,0,0,2,8,20.4
VJ Edgecombe,PHI,PHI @ CHA,1/26/2026,L,26,9,2,11,18.2,1,4,25,4,4,100,1,5,6,1,1,0,2,4,-36,18.7
Quentin Grimes,PHI,PHI @ CHA,1/26/2026,L,26,14,5,11,45.5,0,2,0,4,5,80,0,3,3,5,1,0,2,2,-7,26.1
Dominick Barlow,PHI,PHI @ CHA,1/26/2026,L,25,9,4,8,50,0,1,0,1,2,50,1,2,3,1,2,0,0,1,-13,20.1
Ryan Kalkbrenner,CHA,CHA vs. PHI,1/26/2026,W,26,13,6,8,75,0,0,-,1,4,25,3,6,9,3,1,3,3,3,4,37.3
Tyrese Maxey,PHI,PHI @ CHA,1/26/2026,L,25,6,3,12,25,0,3,0,0,0,-,1,1,2,7,0,0,3,0,-36,15.9
Adem Bona,PHI,PHI @ CHA,1/26/2026,L,16,2,1,2,50,0,0,-,0,0,-,1,1,2,0,2,0,1,3,-26,9.4
Collin Sexton,CHA,CHA vs. PHI,1/26/2026,W,18,10,3,7,42.9,1,5,20,3,4,75,0,2,2,3,1,0,3,4,6,16.9
Kelly Oubre Jr.,PHI,PHI @ CHA,1/26/2026,L,25,17,7,12,58.3,1,4,25,2,2,100,1,1,2,0,2,0,2,1,-40,23.4
Dean Wade,CLE,CLE vs. ORL,1/26/2026,W,29,6,2,4,50,0,2,0,2,2,100,2,5,7,2,1,1,1,1,21,22.4
Desmond Bane,ORL,ORL @ CLE,1/26/2026,L,38,19,7,17,41.2,3,7,42.9,2,2,100,3,1,4,0,1,1,0,3,-17,29.8
Noah Penda,ORL,ORL @ CLE,1/26/2026,L,14,2,1,4,25,0,1,0,0,0,-,2,1,3,1,1,0,1,3,-2,9.1
Tyus Jones,ORL,ORL @ CLE,1/26/2026,L,18,3,1,3,33.3,1,2,50,0,0,-,0,3,3,3,2,0,0,0,1,17.1
Tristan da Silva,ORL,ORL @ CLE,1/26/2026,L,9,5,2,4,50,1,2,50,0,0,-,0,1,1,1,1,1,1,0,-2,12.7
Nae'Qwan Tomlin,CLE,CLE vs. ORL,1/26/2026,W,24,8,2,7,28.6,1,4,25,3,4,75,0,3,3,1,0,0,2,1,-5,11.1
Larry Nance Jr.,CLE,CLE vs. ORL,1/26/2026,W,6,2,1,2,50,0,1,0,0,0,-,0,1,1,0,0,0,0,0,-1,3.2
Tyrese Proctor,CLE,CLE vs. ORL,1/26/2026,W,14,6,2,3,66.7,2,2,100,0,0,-,0,2,2,3,2,0,2,0,3,16.9
Lonzo Ball,CLE,CLE vs. ORL,1/26/2026,W,14,0,0,1,0,0,1,0,0,0,-,0,1,1,1,1,1,1,2,-1,7.7
Evan Mobley,CLE,CLE vs. ORL,1/26/2026,W,35,20,9,16,56.3,1,3,33.3,1,4,25,2,7,9,2,0,2,1,4,5,38.8
Jase Richardson,ORL,ORL @ CLE,1/26/2026,L,5,0,0,1,0,0,1,0,0,0,-,1,0,1,0,0,0,1,1,-7,0.2
Moritz Wagner,ORL,ORL @ CLE,1/26/2026,L,12,5,2,9,22.2,1,3,33.3,0,0,-,1,2,3,0,0,0,1,1,-5,7.6
Paolo Banchero,ORL,ORL @ CLE,1/26/2026,L,40,37,13,21,61.9,2,5,40,9,13,69.2,4,6,10,4,0,0,2,1,-14,53
Donovan Mitchell,CLE,CLE vs. ORL,1/26/2026,W,35,45,15,25,60,5,8,62.5,10,12,83.3,0,4,4,4,1,0,4,2,23,54.8
Craig Porter Jr.,CLE,CLE vs. ORL,1/26/2026,W,15,4,2,5,40,0,1,0,0,0,-,1,4,5,5,0,0,0,2,5,17.5
Jarrett Allen,CLE,CLE vs. ORL,1/26/2026,W,33,9,4,6,66.7,0,0,-,1,3,33.3,0,4,4,1,0,0,0,2,18,15.3
Jonathan Isaac,ORL,ORL @ CLE,1/26/2026,L,5,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,1,0,1,-1,4.2
Jaylon Tyson,CLE,CLE vs. ORL,1/26/2026,W,35,14,5,10,50,2,3,66.7,2,2,100,2,7,9,4,1,1,3,1,12,33.8
Anthony Black,ORL,ORL @ CLE,1/26/2026,L,37,14,6,14,42.9,2,9,22.2,0,0,-,0,4,4,5,3,1,2,3,-14,36.3
Wendell Carter Jr.,ORL,ORL @ CLE,1/26/2026,L,34,9,4,8,50,1,4,25,0,0,-,0,7,7,1,0,1,0,3,-13,21.9
Jalen Suggs,ORL,ORL @ CLE,1/26/2026,L,27,4,2,13,15.4,0,5,0,0,0,-,2,3,5,6,2,1,3,3,-6,25
Lachlan Olbrich,CHI,CHI vs. LAL,1/26/2026,L,1,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,1.2
Julian Phillips,CHI,CHI vs. LAL,1/26/2026,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0
Jevon Carter,CHI,CHI vs. LAL,1/26/2026,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0
Nikola Vučević,CHI,CHI vs. LAL,1/26/2026,L,36,18,6,10,60,1,3,33.3,5,5,100,1,10,11,5,1,0,2,2,-3,39.7
Deandre Ayton,LAL,LAL @ CHI,1/26/2026,W,22,6,3,6,50,0,0,-,0,0,-,0,2,2,0,0,0,0,1,-15,8.4
Jaylen Wells,MEM,MEM @ HOU,1/26/2026,L,26,12,4,13,30.8,1,6,16.7,3,3,100,2,4,6,0,1,0,2,4,-9,20.2
Cedric Coward,MEM,MEM @ HOU,1/26/2026,L,30,8,3,13,23.1,0,2,0,2,3,66.7,2,5,7,2,1,1,2,3,-14,23.4
Drew Timme,LAL,LAL @ CHI,1/26/2026,W,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2,0
Jae'Sean Tate,HOU,HOU vs. MEM,1/26/2026,W,4,0,0,0,-,0,0,-,0,0,-,0,1,1,1,0,0,0,1,-2,2.7
Dalen Terry,CHI,CHI vs. LAL,1/26/2026,L,3,0,0,1,0,0,1,0,0,0,-,0,0,0,0,0,0,0,2,-2,0
Gabe Vincent,LAL,LAL @ CHI,1/26/2026,W,12,0,0,2,0,0,1,0,0,0,-,0,1,1,3,0,0,0,0,13,5.7
Ayo Dosunmu,CHI,CHI vs. LAL,1/26/2026,L,25,20,8,14,57.1,2,6,33.3,2,3,66.7,1,2,3,2,2,0,1,4,-14,31.6
Jabari Smith Jr.,HOU,HOU vs. MEM,1/26/2026,W,34,8,2,6,33.3,2,6,33.3,2,2,100,0,8,8,2,2,0,0,2,6,26.6
Patrick Williams,CHI,CHI vs. LAL,1/26/2026,L,12,7,3,5,60,1,3,33.3,0,0,-,0,0,0,1,0,0,1,1,-22,7.5
John Konchar,MEM,MEM @ HOU,1/26/2026,L,20,0,0,1,0,0,1,0,0,0,-,1,2,3,1,2,0,0,3,0,11.1
Jarred Vanderbilt,LAL,LAL @ CHI,1/26/2026,W,17,2,1,3,33.3,0,2,0,0,0,-,1,6,7,2,0,0,1,1,21,12.4
Kentavious Caldwell-Pope,MEM,MEM @ HOU,1/26/2026,L,18,11,5,9,55.6,1,4,25,0,0,-,2,1,3,1,0,0,0,0,5,16.1
Jaxson Hayes,LAL,LAL @ CHI,1/26/2026,W,23,8,3,4,75,0,0,-,2,2,100,1,3,4,1,1,2,0,2,26,23.3
Coby White,CHI,CHI vs. LAL,1/26/2026,L,31,23,8,13,61.5,5,10,50,2,2,100,0,5,5,6,1,0,4,4,7,37
Olivier-Maxence Prosper,MEM,MEM @ HOU,1/26/2026,L,11,8,2,4,50,2,2,100,2,2,100,2,1,3,0,0,1,2,0,1,12.6
Dorian Finney-Smith,HOU,HOU vs. MEM,1/26/2026,W,16,3,1,4,25,1,3,33.3,0,0,-,1,1,2,2,2,0,0,0,9,14.4
Amen Thompson,HOU,HOU vs. MEM,1/26/2026,W,42,8,3,10,30,0,1,0,2,2,100,5,3,8,14,1,0,4,1,11,37.6
Matas Buzelis,CHI,CHI vs. LAL,1/26/2026,L,22,11,4,8,50,2,6,33.3,1,2,50,1,4,5,4,0,0,3,2,9,20
Kevin Huerter,CHI,CHI vs. LAL,1/26/2026,L,16,0,0,5,0,0,5,0,0,0,-,0,1,1,1,0,0,0,0,-22,2.7
Clint Capela,HOU,HOU vs. MEM,1/26/2026,W,7,0,0,0,-,0,0,-,0,0,-,1,2,3,0,0,0,0,0,-7,3.6
Jalen Smith,CHI,CHI vs. LAL,1/26/2026,L,37,13,5,7,71.4,3,5,60,0,2,0,0,7,7,0,1,0,1,3,5,23.4
Kevin Durant,HOU,HOU vs. MEM,1/26/2026,W,37,33,11,24,45.8,4,9,44.4,7,9,77.8,2,6,8,2,0,1,2,1,1,46.6
Rui Hachimura,LAL,LAL @ CHI,1/26/2026,W,29,23,9,11,81.8,4,5,80,1,2,50,0,2,2,1,1,1,0,1,22,32.9
Isaac Okoro,CHI,CHI vs. LAL,1/26/2026,L,28,7,3,5,60,1,2,50,0,0,-,0,1,1,5,0,0,0,2,10,15.7
Marcus Smart,LAL,LAL @ CHI,1/26/2026,W,32,12,3,6,50,1,3,33.3,5,7,71.4,0,2,2,1,1,0,0,4,5,18.9
Reed Sheppard,HOU,HOU vs. MEM,1/26/2026,W,15,4,2,11,18.2,0,7,0,0,0,-,0,4,4,0,0,1,2,1,-2,9.8
Josh Giddey,CHI,CHI vs. LAL,1/26/2026,L,28,19,6,14,42.9,3,8,37.5,4,4,100,2,4,6,7,0,0,3,0,-23,33.7
Vince Williams Jr.,MEM,MEM @ HOU,1/26/2026,L,21,7,3,15,20,1,6,16.7,0,0,-,4,4,8,5,2,0,2,4,-4,28.1
Josh Okogie,HOU,HOU vs. MEM,1/26/2026,W,25,2,1,3,33.3,0,2,0,0,1,0,2,5,7,2,1,0,0,1,7,16.4
Alperen Sengun,HOU,HOU vs. MEM,1/26/2026,W,34,33,15,17,88.2,0,1,0,3,4,75,3,6,9,6,1,0,5,5,12,50.8
Tari Eason,HOU,HOU vs. MEM,1/26/2026,W,27,17,6,17,35.3,4,8,50,1,2,50,2,5,7,0,2,1,3,1,10,31.4
LeBron James,LAL,LAL @ CHI,1/26/2026,W,33,24,9,19,47.4,1,4,25,5,6,83.3,0,5,5,3,1,0,2,3,-14,35.5
Jake LaRavia,LAL,LAL @ CHI,1/26/2026,W,33,8,3,6,50,2,4,50,0,0,-,1,4,5,4,3,0,0,1,-9,29
Shaedon Sharpe,POR,POR @ BOS,1/26/2026,L,34,9,3,12,25,1,6,16.7,2,2,100,1,4,5,3,1,0,3,3,-4,19.5
Rayan Rupert,POR,POR @ BOS,1/26/2026,L,16,4,1,4,25,0,2,0,2,2,100,2,2,4,0,1,0,3,3,-7,8.8
Jordan Walsh,BOS,BOS vs. POR,1/26/2026,W,3,1,0,1,0,0,1,0,1,2,50,0,1,1,0,0,0,1,0,-2,1.2
Anfernee Simons,BOS,BOS vs. POR,1/26/2026,W,26,12,5,12,41.7,2,7,28.6,0,0,-,0,1,1,1,2,1,1,1,-9,22.7
Hugo González,BOS,BOS vs. POR,1/26/2026,W,14,2,1,2,50,0,1,0,0,0,-,0,0,0,2,0,0,0,0,19,5
Sidy Cissoko,POR,POR @ BOS,1/26/2026,L,25,4,1,2,50,0,1,0,2,4,50,1,3,4,1,1,0,2,4,-11,11.3
Caleb Love,POR,POR @ BOS,1/26/2026,L,26,11,5,14,35.7,1,7,14.3,0,0,-,1,2,3,5,0,0,2,0,-2,20.1
Sam Hauser,BOS,BOS vs. POR,1/26/2026,W,30,11,4,12,33.3,3,7,42.9,0,0,-,0,7,7,3,2,0,0,3,5,29.9
Amari Williams,BOS,BOS vs. POR,1/26/2026,W,26,9,3,8,37.5,0,0,-,3,5,60,2,5,7,1,1,2,2,5,4,25.9
Javonte Cooke,POR,POR @ BOS,1/26/2026,L,4,0,0,1,0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-1,0
Toumani Camara,POR,POR @ BOS,1/26/2026,L,36,18,6,13,46.2,3,9,33.3,3,3,100,2,6,8,1,3,0,2,5,-6,36.1
Donovan Clingan,POR,POR @ BOS,1/26/2026,L,28,9,4,9,44.4,1,5,20,0,2,0,4,11,15,1,0,5,3,2,-19,40.5
Baylor Scheierman,BOS,BOS vs. POR,1/26/2026,W,13,2,1,2,50,0,0,-,0,0,-,2,3,5,0,0,0,1,3,-12,7
GG Jackson,MEM,MEM @ HOU,1/26/2026,L,27,14,6,16,37.5,0,6,0,2,3,66.7,1,2,3,1,1,0,0,2,-4,22.1
Cam Spencer,MEM,MEM @ HOU,1/26/2026,L,27,5,1,5,20,0,3,0,3,3,100,3,2,5,13,1,1,3,1,-5,33.5
Jaylen Brown,BOS,BOS vs. POR,1/26/2026,W,36,20,8,17,47.1,1,3,33.3,3,5,60,1,7,8,4,4,0,1,1,6,46.6
Payton Pritchard,BOS,BOS vs. POR,1/26/2026,W,35,23,8,16,50,5,11,45.5,2,4,50,1,3,4,3,0,0,0,1,23,32.3
Robert Williams III,POR,POR @ BOS,1/26/2026,L,20,6,3,3,100,0,0,-,0,0,-,0,2,2,0,2,1,1,2,11,16.4
Jerami Grant,POR,POR @ BOS,1/26/2026,L,27,19,4,9,44.4,1,3,33.3,10,15,66.7,0,2,2,3,0,2,0,2,-4,31.9
Neemias Queta,BOS,BOS vs. POR,1/26/2026,W,22,4,2,6,33.3,0,0,-,0,0,-,2,2,4,6,0,1,2,3,4,18.8
Jaren Jackson Jr.,MEM,MEM @ HOU,1/26/2026,L,32,17,8,17,47.1,1,5,20,0,0,-,1,6,7,1,1,2,1,3,-10,34.9
Santi Aldama,MEM,MEM @ HOU,1/26/2026,L,27,17,7,12,58.3,1,2,50,2,3,66.7,3,4,7,2,0,0,1,1,-5,27.4
Luka Dončić,LAL,LAL @ CHI,1/26/2026,W,38,46,15,25,60,8,14,57.1,8,12,66.7,0,7,7,11,0,0,3,2,6,67.9
Jaden McDaniels,MIN,MIN vs. GSW,1/26/2026,W,30,14,4,9,44.4,2,4,50,4,4,100,0,3,3,3,0,3,3,1,17,28.1
Trayce Jackson-Davis,GSW,GSW @ MIN,1/26/2026,L,20,8,3,7,42.9,0,0,-,2,4,50,2,2,4,1,2,0,2,3,-12,18.3
Jrue Holiday,POR,POR @ BOS,1/26/2026,L,24,14,5,11,45.5,3,7,42.9,1,2,50,0,3,3,3,3,0,2,1,3,29.1
Joan Beringer,MIN,MIN vs. GSW,1/26/2026,W,10,6,3,8,37.5,0,0,-,0,0,-,2,2,4,0,0,0,0,2,-2,10.8
Malevy Leons,GSW,GSW @ MIN,1/26/2026,L,9,6,2,4,50,0,1,0,2,2,100,1,4,5,1,1,0,0,0,-7,16.5
Julius Randle,MIN,MIN vs. GSW,1/26/2026,W,23,18,7,15,46.7,1,6,16.7,3,3,100,0,7,7,2,1,0,6,2,13,26.4
Naz Reid,MIN,MIN vs. GSW,1/26/2026,W,25,15,6,12,50,3,7,42.9,0,0,-,1,6,7,3,3,1,3,3,30,36.9
Buddy Hield,GSW,GSW @ MIN,1/26/2026,L,29,5,2,10,20,1,4,25,0,2,0,0,2,2,3,1,1,1,3,-20,16.9
Johnny Juzang,MIN,MIN vs. GSW,1/26/2026,W,5,2,0,1,0,0,1,0,2,4,50,0,1,1,0,0,0,1,0,-4,2.2
Jaylen Clark,MIN,MIN vs. GSW,1/26/2026,W,25,4,1,3,33.3,0,0,-,2,2,100,1,2,3,2,2,0,0,0,15,16.6
Rudy Gobert,MIN,MIN vs. GSW,1/26/2026,W,35,15,5,8,62.5,0,0,-,5,7,71.4,3,14,17,2,1,2,3,1,22,44.4
Bones Hyland,MIN,MIN vs. GSW,1/26/2026,W,25,17,6,9,66.7,3,4,75,2,4,50,0,7,7,5,2,0,1,4,19,37.9
Quinten Post,GSW,GSW @ MIN,1/26/2026,L,28,13,5,12,41.7,3,7,42.9,0,0,-,3,2,5,0,0,1,0,2,-13,22
Derrick White,BOS,BOS vs. POR,1/26/2026,W,34,18,7,14,50,2,4,50,2,2,100,2,2,4,4,2,0,9,4,2,25.8
Moses Moody,GSW,GSW @ MIN,1/26/2026,L,26,10,4,12,33.3,2,7,28.6,0,0,-,2,2,4,1,0,1,1,0,-13,18.3
Mike Conley,MIN,MIN vs. GSW,1/26/2026,W,21,2,0,4,0,0,4,0,2,2,100,0,2,2,2,0,1,0,1,11,10.4
Pat Spencer,GSW,GSW @ MIN,1/26/2026,L,34,10,4,11,36.4,2,4,50,0,0,-,2,3,5,6,1,0,4,1,-10,24
Rob Dillingham,MIN,MIN vs. GSW,1/26/2026,W,5,0,0,2,0,0,0,-,0,0,-,0,1,1,1,1,0,1,0,-4,4.7
Gary Payton II,GSW,GSW @ MIN,1/26/2026,L,12,4,2,4,50,0,2,0,0,0,-,0,1,1,0,1,0,2,6,-20,6.2
Brandin Podziemski,GSW,GSW @ MIN,1/26/2026,L,28,12,4,13,30.8,0,2,0,4,5,80,0,7,7,4,0,0,3,2,-14,23.4
Gui Santos,GSW,GSW @ MIN,1/26/2026,L,26,11,5,13,38.5,1,6,16.7,0,0,-,1,9,10,2,1,1,4,1,-5,28
Will Richard,GSW,GSW @ MIN,1/26/2026,L,28,4,2,9,22.2,0,6,0,0,0,-,0,2,2,3,6,0,1,1,-11,27.9
Joe Ingles,MIN,MIN vs. GSW,1/26/2026,W,5,0,0,0,-,0,0,-,0,0,-,0,0,0,1,1,0,0,0,-4,4.5
Donte DiVincenzo,MIN,MIN vs. GSW,1/26/2026,W,31,15,5,10,50,5,9,55.6,0,0,-,2,2,4,8,1,3,4,1,12,39.8
Will Riley,WAS,WAS vs. POR,1/27/2026,W,11,6,2,3,66.7,2,2,100,0,0,-,0,1,1,2,0,0,1,0,-10,9.2
Caleb Love,POR,POR @ WAS,1/27/2026,L,17,6,2,8,25,0,1,0,2,4,50,1,1,2,1,0,0,1,0,-5,8.9
Jerami Grant,POR,POR @ WAS,1/27/2026,L,24,6,3,10,30,0,5,0,0,0,-,1,3,4,0,0,1,1,1,-1,12.8
Malaki Branham,WAS,WAS vs. POR,1/27/2026,W,2,3,1,1,100,1,1,100,0,0,-,0,0,0,0,0,0,0,1,4,3
Yang Hansen,POR,POR @ WAS,1/27/2026,L,12,6,2,6,33.3,0,1,0,2,2,100,3,2,5,1,0,0,1,1,11,12.5
Bub Carrington,WAS,WAS vs. POR,1/27/2026,W,28,11,4,11,36.4,2,6,33.3,1,1,100,0,1,1,1,2,0,3,2,-6,16.7
Sidy Cissoko,POR,POR @ WAS,1/27/2026,L,15,0,0,3,0,0,2,0,0,0,-,0,0,0,0,1,0,0,1,5,3
Bilal Coulibaly,WAS,WAS vs. POR,1/27/2026,W,28,5,1,2,50,1,1,100,2,2,100,1,4,5,6,2,2,0,0,19,32
Kyshawn George,WAS,WAS vs. POR,1/27/2026,W,37,19,5,16,31.3,4,10,40,5,6,83.3,1,8,9,5,3,2,1,2,19,51.3
Shaedon Sharpe,POR,POR @ WAS,1/27/2026,L,35,31,11,20,55,5,9,55.6,4,4,100,0,4,4,2,2,1,3,3,-10,44.8
Toumani Camara,POR,POR @ WAS,1/27/2026,L,33,16,6,11,54.5,4,6,66.7,0,2,0,1,8,9,4,0,1,1,5,2,34.8
Deni Avdija,POR,POR @ WAS,1/27/2026,L,31,17,6,14,42.9,3,5,60,2,6,33.3,4,8,12,3,0,1,6,1,-9,32.9
Skal Labissiere,WAS,WAS vs. POR,1/27/2026,W,4,0,0,1,0,0,1,0,0,0,-,0,1,1,0,0,0,0,1,-8,1.2
Alex Sarr,WAS,WAS vs. POR,1/27/2026,W,36,29,11,29,37.9,3,9,33.3,4,5,80,6,6,12,3,2,6,2,1,16,69.9
Tre Johnson,WAS,WAS vs. POR,1/27/2026,W,32,18,7,13,53.8,3,5,60,1,1,100,2,2,4,2,0,1,0,2,4,28.8
Anthony Gill,WAS,WAS vs. POR,1/27/2026,W,6,2,1,2,50,0,0,-,0,0,-,1,1,2,1,1,0,1,2,-8,7.9
Jrue Holiday,POR,POR @ WAS,1/27/2026,L,25,5,2,14,14.3,0,4,0,1,3,33.3,5,2,7,5,1,0,3,1,3,20.9
Justin Champagnie,WAS,WAS vs. POR,1/27/2026,W,18,1,0,2,0,0,1,0,1,2,50,1,2,3,1,1,0,2,1,-9,7.1
Khris Middleton,WAS,WAS vs. POR,1/27/2026,W,27,19,7,14,50,1,2,50,4,4,100,1,5,6,5,3,1,1,2,15,44.7
Donovan Clingan,POR,POR @ WAS,1/27/2026,L,30,14,6,17,35.3,0,3,0,2,2,100,13,7,20,2,1,1,2,3,-17,45
Rayan Rupert,POR,POR @ WAS,1/27/2026,L,19,10,4,6,66.7,2,2,100,0,0,-,1,5,6,1,5,0,2,1,1,31.7
Jamir Watkins,WAS,WAS vs. POR,1/27/2026,W,12,2,1,4,25,0,1,0,0,0,-,1,1,2,1,2,0,2,3,-16,9.9
Russell Westbrook,SAC,SAC @ NYK,1/27/2026,L,33,14,6,19,31.6,2,9,22.2,0,0,-,3,1,4,5,1,0,6,4,-17,23.3
Maxime Raynaud,SAC,SAC @ NYK,1/27/2026,L,15,4,1,2,50,0,0,-,2,2,100,0,3,3,0,0,0,1,1,1,6.6
Dylan Cardwell,SAC,SAC @ NYK,1/27/2026,L,22,4,2,3,66.7,0,0,-,0,0,-,3,7,10,0,0,2,0,3,-6,22
Jalen Brunson,NYK,NYK vs. SAC,1/27/2026,W,35,28,9,17,52.9,4,8,50,6,7,85.7,0,3,3,4,0,1,2,2,17,38.6
Mitchell Robinson,NYK,NYK vs. SAC,1/27/2026,W,27,7,3,5,60,0,0,-,1,2,50,6,7,13,0,2,0,0,1,25,28.6
Keon Ellis,SAC,SAC @ NYK,1/27/2026,L,22,3,1,4,25,1,4,25,0,0,-,0,1,1,1,0,0,0,1,-2,5.7
Nique Clifford,SAC,SAC @ NYK,1/27/2026,L,30,7,3,8,37.5,1,3,33.3,0,0,-,1,2,3,1,3,0,1,0,-2,20.1
Karl-Anthony Towns,NYK,NYK vs. SAC,1/27/2026,W,27,17,5,15,33.3,3,8,37.5,4,4,100,3,8,11,4,0,0,2,2,-3,34.2
Dennis Schröder,SAC,SAC @ NYK,1/27/2026,L,23,4,1,8,12.5,0,3,0,2,2,100,0,1,1,4,2,0,1,1,-12,16.2
DeMar DeRozan,SAC,SAC @ NYK,1/27/2026,L,39,34,13,26,50,1,7,14.3,7,8,87.5,0,5,5,0,0,0,2,3,-17,38
Josh Hart,NYK,NYK vs. SAC,1/27/2026,W,31,7,2,6,33.3,0,2,0,3,3,100,1,8,9,4,3,0,4,2,-2,28.8
Guerschon Yabusele,NYK,NYK vs. SAC,1/27/2026,W,3,0,0,1,0,0,1,0,0,0,-,0,0,0,0,0,0,0,0,3,0
Domantas Sabonis,SAC,SAC @ NYK,1/27/2026,L,33,11,5,10,50,0,2,0,1,2,50,5,7,12,7,0,1,3,2,-17,35.9
OG Anunoby,NYK,NYK vs. SAC,1/27/2026,W,32,15,5,7,71.4,3,4,75,2,2,100,1,1,2,0,2,0,7,3,5,16.4
Landry Shamet,NYK,NYK vs. SAC,1/27/2026,W,17,2,1,3,33.3,0,0,-,0,0,-,0,1,1,3,2,0,1,2,1,12.7
Precious Achiuwa,SAC,SAC @ NYK,1/27/2026,L,24,6,3,7,42.9,0,2,0,0,0,-,2,3,5,0,2,0,2,1,-8,16
Saddiq Bey,NOP,NOP @ OKC,1/27/2026,L,33,16,4,16,25,3,6,50,5,5,100,5,8,13,5,2,0,1,1,2,44.1
Derik Queen,NOP,NOP @ OKC,1/27/2026,L,26,9,4,11,36.4,0,0,-,1,1,100,1,6,7,1,2,1,0,2,0,27.9
Luguentz Dort,OKC,OKC vs. NOP,1/27/2026,W,34,12,4,12,33.3,4,9,44.4,0,0,-,3,5,8,3,1,0,1,2,8,28.1
Zion Williamson,NOP,NOP @ OKC,1/27/2026,L,34,21,8,11,72.7,0,0,-,5,5,100,5,6,11,2,0,1,3,4,4,37.2
Trey Murphy III,NOP,NOP @ OKC,1/27/2026,L,39,10,3,20,15,1,11,9.1,3,5,60,1,4,5,5,3,1,0,2,-4,35.5
